,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
64,Male,63,48,51,2,0
65,Male,18,48,59,2,0
66,Female,43,48,50,2,0
67,Female,68,48,48,2,0
68,Male,19,48,59,2,0
69,Female,32,48,47,2,0
70,Male,70,49,55,2,0
71,Female,47,49,42,2,0
72,Female,60,50,49,2,0
73,Female,60,50,56,2,0
74,Male,59,54,47,2,0
75,Male,26,54,54,2,0
76,Female,45,54,53,2,0
77,Male,40,54,48,2,0
78,Female,23,54,52,2,0
79,Female,49,54,42,2,0
80,Male,57,54,51,2,0
81,Male,38,54,55,2,0
82,Male,67,54,41,2,0
83,Female,46,54,44,2,0
84,Female,21,54,57,2,0
85,Male,48,54,46,2,0
86,Female,55,57,58,7,0
87,Female,22,57,55,7,0
88,Female,34,58,60,7,0
89,Female,50,58,46,7,0
90,Female,68,59,55,7,0
91,Male,18,59,41,7,0
92,Male,48,60,49,7,0
93,Female,40,60,40,7,0
94,Female,32,60,42,7,0
95,Male,24,60,52,7,0
96,Female,47,60,47,7,0
97,Female,27,60,50,7,0
98,Male,48,61,42,7,0
99,Male,20,61,49,7,0
100,Female,23,62,41,7,0
101,Female,49,62,48,7,0
102,Male,67,62,59,7,0
103,Male,26,62,55,7,0
104,Male,49,62,56,7,0
105,Female,21,62,42,7,0
106,Female,66,63,50,7,0
107,Male,54,63,46,7,0
108,Male,68,63,43,7,0
109,Male,66,63,48,7,0
110,Male,65,63,52,7,0
111,Female,19,63,54,7,0
112,Female,38,64,42,7,0
113,Male,19,64,46,7,0
114,Female,18,65,48,7,0
115,Female,19,65,50,7,0
116,Female,63,65,43,7,0
117,Female,49,65,59,7,0
118,Female,51,67,43,7,0
119,Female,50,67,57,7,0
120,Male,27,67,56,7,0
121,Female,38,67,40,7,0
122,Female,40,69,58,0,0
123,Male,39,69,91,0,1
124,Female,23,70,29,0,3
125,Female,31,70,77,0,1
126,Male,43,71,35,0,0
127,Male,40,71,95,0,1
128,Male,59,71,11,0,3
129,Male,38,71,75,0,1
130,Male,47,71,9,0,3
131,Male,39,71,75,0,1
132,Female,25,72,34,0,0
133,Female,31,72,71,0,1
134,Male,20,73,5,0,3
135,Female,29,73,88,0,1
136,Female,44,73,7,0,3
137,Male,32,73,73,0,1
138,Male,19,74,10,0,3
139,Female,35,74,72,0,1
140,Female,57,75,5,0,3
141,Male,32,75,93,0,1
142,Female,28,76,40,0,0
143,Female,32,76,87,0,1
144,Male,25,77,12,0,3
145,Male,28,77,97,0,1
146,Male,48,77,36,0,3
147,Female,32,77,74,0,1
148,Female,34,78,22,0,3
149,Male,34,78,90,0,1
150,Male,43,78,17,0,3
151,Male,39,78,88,0,1
152,Female,44,78,20,0,3
153,Female,38,78,76,0,1
154,Female,47,78,16,0,3
155,Female,27,78,89,0,1
156,Male,37,78,1,0,3
157,Female,30,78,78,0,1
158,Male,34,78,1,0,3
159,Female,30,78,73,0,1
160,Female,56,79,35,0,3
161,Female,29,79,83,0,1
162,Male,19,81,5,0,3
163,Female,31,81,93,0,1
164,Male,50,85,26,4,3
165,Female,36,85,75,4,1
166,Male,42,86,20,4,3
167,Female,33,86,95,4,1
168,Female,36,87,27,4,3
169,Male,32,87,63,4,1
170,Male,40,87,13,4,3
171,Male,28,87,75,4,1
172,Male,36,87,10,4,3
173,Male,36,87,92,4,1
174,Female,52,88,13,4,3
175,Female,30,88,86,4,1
176,Male,58,88,15,4,3
177,Male,27,88,69,4,1
178,Male,59,93,14,4,3
179,Male,35,93,90,4,1
180,Female,37,97,32,6,3
181,Female,32,97,86,6,1
182,Male,46,98,15,6,3
183,Female,29,98,88,6,1
184,Female,41,99,39,6,3
185,Male,30,99,97,6,1
186,Female,54,101,24,6,3
187,Male,28,101,68,6,1
188,Female,41,103,17,6,3
189,Female,36,103,85,6,1
190,Female,34,103,23,6,3
191,Female,32,103,69,6,1
192,Male,33,113,8,6,3
193,Female,38,113,91,6,1
194,Female,47,120,16,3,3
195,Female,35,120,79,3,1
196,Female,45,126,28,3,3
197,Male,32,126,74,3,1
198,Male,32,137,18,3,3
199,Male,30,137,83,3,1
